Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2020-02-07,102.1,104.93,101.9,103.96,103.96,101906000,102.23,101.85,3.06,,,87.06,104.01,88.07,96.04,471830000.0,,42.96,11.22
2020-02-10,104.25,106.78,104.25,106.7,106.7,101124000,103.53,103.46,3.45,,,91.42,105.83,87.51,96.67,572954000.0,41.28,45.29,10.07
2020-02-11,107.54,109.3,106.8,107.54,107.54,114920000,104.54,104.82,3.78,,,92.41,107.56,87.07,97.32,687874000.0,44.24,50.05,9.14
2020-02-12,108.16,109.01,107.76,108.0,108.0,66686000,105.74,105.88,4.03,,,92.96,109.12,86.96,98.04,754560000.0,46.8,47.38,8.66
2020-02-13,107.25,108.51,107.1,107.49,107.49,60636000,106.74,106.42,4.14,,,84.5,110.32,87.2,98.76,693924000.0,48.28,44.91,10.66
2020-02-14,107.78,107.95,106.29,106.74,106.74,52124000,107.29,106.53,4.12,,,72.32,111.24,87.57,99.41,641800000.0,48.72,42.13,13.0
2020-02-18,106.25,108.3,106.21,107.78,107.78,58912000,107.51,106.95,4.14,,,77.85,112.15,88.12,100.13,700712000.0,49.22,40.16,11.99
2020-02-19,108.39,109.25,108.06,108.51,108.51,51224000,107.71,107.47,4.17,3.74,0.43,81.15,113.09,88.57,100.83,751936000.0,49.95,41.51,11.33
2020-02-20,108.65,108.84,106.37,107.65,107.65,62626000,107.64,107.53,4.08,3.81,0.27,66.58,113.72,89.26,101.49,689310000.0,48.97,37.74,16.51
2020-02-21,107.11,107.23,104.4,104.8,104.8,92926000,107.1,106.62,3.73,3.79,-0.07,38.07,113.86,90.19,102.02,596384000.0,46.54,33.41,21.56
2020-02-24,100.16,101.96,99.4,100.46,100.46,130940000,105.84,104.57,3.07,3.65,-0.58,21.01,113.53,91.25,102.39,465444000.0,43.31,27.74,33.63
2020-02-25,101.32,101.73,97.92,98.64,98.64,124382000,104.01,102.59,2.37,3.39,-1.02,16.99,112.86,92.64,102.75,341062000.0,41.0,24.57,34.22
2020-02-26,98.51,100.73,98.02,98.98,98.98,104492000,102.11,101.39,1.82,3.08,-1.26,20.55,112.25,93.88,103.07,445554000.0,38.92,22.59,31.46
2020-02-27,96.72,98.75,94.14,94.21,94.21,162880000,99.42,99.0,0.99,2.66,-1.67,11.78,112.04,94.23,103.13,282674000.0,38.34,19.56,38.0
2020-02-28,90.73,94.49,90.56,94.19,94.19,189620000,97.3,97.39,0.33,2.19,-1.87,11.74,111.93,94.4,103.17,93054000.0,38.7,17.51,43.58
2020-03-02,95.32,97.73,93.5,97.7,97.7,135234000,96.74,97.49,0.08,1.77,-1.69,40.76,112.04,94.01,103.03,228288000.0,37.48,23.91,38.86
2020-03-03,98.77,99.82,94.4,95.45,95.45,150690000,96.11,96.81,-0.29,1.36,-1.65,32.27,112.33,93.25,102.79,77598000.0,35.54,25.83,33.8
2020-03-04,97.33,98.9,96.1,98.79,98.79,95458000,96.07,97.47,-0.31,1.03,-1.33,51.18,112.3,92.91,102.61,173056000.0,33.76,23.71,31.03
2020-03-05,96.65,98.04,95.5,96.2,96.2,94964000,96.47,97.05,-0.53,0.72,-1.24,40.28,112.41,92.23,102.32,78092000.0,32.33,21.87,30.04
2020-03-06,93.75,95.54,93.47,95.05,95.05,105472000,96.64,96.38,-0.78,0.42,-1.2,36.04,112.52,91.37,101.94,-27380000.0,31.62,20.45,32.91
2020-03-09,88.69,93.14,88.06,90.03,90.03,156264000,95.11,94.27,-1.38,0.06,-1.44,22.85,112.97,89.52,101.25,-183644000.0,32.21,17.35,39.66
2020-03-10,93.54,94.71,90.91,94.59,94.59,142666000,94.93,94.37,-1.46,-0.25,-1.22,45.49,112.42,88.86,100.64,-40978000.0,32.09,18.95,35.74
2020-03-11,92.89,93.57,90.07,91.04,91.04,112496000,93.38,93.26,-1.8,-0.56,-1.24,35.39,111.86,87.77,99.82,-153474000.0,32.16,17.19,34.14
2020-03-12,86.1,88.25,83.75,83.83,83.83,226924000,90.91,90.12,-2.61,-0.97,-1.64,22.63,111.91,85.31,98.61,-380398000.0,33.33,14.8,41.46
2020-03-13,87.75,89.32,84.03,89.25,89.25,176194000,89.75,89.83,-2.79,-1.33,-1.46,42.2,110.94,84.46,97.7,-204204000.0,33.98,15.27,37.26
2020-03-16,82.08,87.97,81.3,84.46,84.46,178346000,88.63,88.04,-3.28,-1.72,-1.56,32.98,110.33,82.83,96.58,-382550000.0,34.99,13.19,36.86
2020-03-17,88.77,92.89,84.46,90.39,90.39,218342000,87.79,88.82,-3.15,-2.01,-1.14,49.92,108.69,82.73,95.71,-164208000.0,34.21,19.27,31.89
2020-03-18,87.5,92.08,87.25,91.5,91.5,192904000,87.89,89.72,-2.93,-2.19,-0.74,52.71,106.54,83.18,94.86,28696000.0,33.49,17.79,29.44
2020-03-19,93.0,97.25,91.63,94.05,94.05,207998000,89.93,91.16,-2.52,-2.26,-0.26,59.24,104.28,84.08,94.18,236694000.0,31.35,24.25,26.8
2020-03-20,96.32,97.85,91.04,92.3,92.3,196358000,90.54,91.54,-2.3,-2.27,-0.04,52.98,102.42,84.69,93.56,40336000.0,29.23,22.67,24.04
2020-03-23,91.39,95.97,90.6,95.14,95.14,156170000,92.68,92.74,-1.88,-2.19,0.31,61.3,101.61,84.97,93.29,196506000.0,27.38,20.85,22.77
2020-03-24,97.57,97.75,95.02,97.0,97.0,142942000,94.0,94.16,-1.39,-2.03,0.64,66.21,101.35,85.07,93.21,339448000.0,25.5,22.71,21.81
2020-03-25,96.03,97.51,94.29,94.29,94.29,129582000,94.56,94.21,-1.2,-1.86,0.67,53.79,100.7,85.25,92.97,209866000.0,23.66,21.56,21.85
2020-03-26,95.1,97.82,94.46,97.77,97.77,124426000,95.3,95.4,-0.76,-1.64,0.89,64.48,101.14,85.16,93.15,334292000.0,21.95,20.84,20.62
2020-03-27,96.54,96.99,95.0,95.0,95.0,107758000,95.84,95.27,-0.62,-1.44,0.81,52.43,101.21,85.18,93.19,226534000.0,20.37,19.89,19.67
2020-03-30,96.14,98.68,95.62,98.2,98.2,122522000,96.45,96.24,-0.26,-1.2,0.94,62.52,101.29,85.14,93.22,349056000.0,19.43,21.49,18.47
2020-03-31,98.22,99.65,97.2,97.49,97.49,102472000,96.55,96.66,-0.02,-0.97,0.94,59.03,101.56,85.08,93.32,246584000.0,18.84,22.25,17.7
2020-04-01,96.65,97.25,94.65,95.39,95.39,82438000,96.77,96.23,-0.01,-0.77,0.77,48.95,101.06,85.24,93.15,164146000.0,17.49,21.14,21.29
2020-04-02,95.08,96.38,94.5,95.94,95.94,86720000,96.4,96.14,0.05,-0.61,0.66,51.68,101.03,85.25,93.14,250866000.0,16.28,20.41,20.83
2020-04-03,95.56,96.32,94.46,95.33,95.33,72198000,96.47,95.87,0.04,-0.48,0.52,48.14,101.06,85.24,93.15,178668000.0,15.18,19.69,20.18
2020-04-06,96.8,99.93,96.5,99.88,99.88,115464000,96.8,97.2,0.4,-0.3,0.7,68.32,101.93,85.36,93.64,294132000.0,15.14,24.74,18.45
2020-04-07,100.86,101.79,99.88,100.58,100.58,102280000,97.42,98.33,0.73,-0.1,0.83,70.53,102.76,85.13,93.94,396412000.0,15.59,27.43,17.77
2020-04-08,101.05,102.2,100.56,102.15,102.15,79546000,98.78,99.6,1.11,0.14,0.96,75.34,103.89,85.1,94.5,475958000.0,16.12,27.36,17.18
2020-04-09,102.21,102.65,100.88,102.14,102.14,92930000,100.02,100.45,1.39,0.39,1.0,75.22,104.01,86.82,95.41,383028000.0,16.73,27.29,16.55
2020-04-13,102.0,109.0,101.9,108.44,108.44,134334000,102.64,103.11,2.1,0.73,1.36,87.75,106.2,86.55,96.37,517362000.0,18.64,35.85,14.26
2020-04-14,110.02,114.6,109.31,114.17,114.17,161744000,105.5,106.8,3.09,1.2,1.88,92.22,108.93,86.78,97.86,679106000.0,21.19,42.14,12.64
2020-04-15,112.88,116.67,112.25,115.38,115.38,137332000,108.46,109.66,3.92,1.75,2.17,92.91,112.02,86.2,99.11,816438000.0,23.79,42.52,11.61
2020-04-16,117.3,123.05,116.75,120.41,120.41,240764000,112.11,113.24,4.93,2.38,2.55,95.13,115.96,85.14,100.55,1057202000.0,26.78,47.87,10.09
2020-04-17,118.62,120.0,115.8,118.75,118.75,158600000,115.43,115.08,5.54,3.01,2.52,84.24,118.79,84.78,101.79,898602000.0,29.2,44.12,10.91
2020-04-20,119.5,122.25,119.3,119.68,119.68,115414000,117.68,116.61,6.02,3.62,2.4,85.41,121.26,85.05,103.16,1014016000.0,31.65,45.33,10.25
2020-04-21,120.83,121.42,113.98,116.41,116.41,149534000,118.13,116.54,6.07,4.11,1.96,64.38,122.81,85.63,104.22,864482000.0,32.14,39.84,17.68
2020-04-22,118.45,119.7,117.55,118.17,118.17,84244000,118.68,117.09,6.18,4.52,1.66,69.45,124.5,86.06,105.28,948726000.0,32.6,37.66,16.72
2020-04-23,120.0,121.21,119.1,119.97,119.97,101332000,118.6,118.05,6.34,4.88,1.45,74.14,126.11,87.02,106.56,1050058000.0,33.24,38.28,15.86
2020-04-24,120.85,121.02,119.1,120.51,120.51,76498000,118.95,118.87,6.43,5.19,1.24,75.54,127.71,87.69,107.7,1126556000.0,33.83,36.99,15.33
2020-04-27,122.16,122.24,118.15,118.8,118.8,112912000,118.77,118.85,6.3,5.42,0.88,62.14,128.56,89.22,108.89,1013644000.0,34.55,36.47,14.22
2020-04-28,118.61,118.68,115.3,115.7,115.7,105388000,118.63,117.8,5.88,5.51,0.37,44.35,129.01,90.52,109.76,908256000.0,34.23,34.2,18.41
2020-04-29,116.5,119.59,115.5,118.64,118.64,91832000,118.72,118.08,5.71,5.55,0.16,58.43,129.57,92.07,110.82,1000088000.0,34.09,33.35,17.07
2020-04-30,120.99,123.75,119.8,123.7,123.7,190692000,119.47,119.95,5.92,5.62,0.3,73.13,130.37,94.1,112.24,1190780000.0,34.62,37.62,15.55
2020-05-01,116.84,118.12,112.91,114.3,114.3,195452000,118.23,118.07,5.27,5.55,-0.29,40.18,129.69,96.62,113.16,995328000.0,33.13,31.28,23.68
2020-05-04,112.82,116.35,112.82,115.8,115.8,97318000,117.63,117.31,4.81,5.4,-0.59,45.11,128.57,99.79,114.18,1092646000.0,31.72,29.53,22.5
2020-05-05,117.0,117.55,115.36,115.89,115.89,64850000,117.67,116.84,4.41,5.2,-0.79,45.45,127.79,102.17,114.98,1157496000.0,30.65,30.44,21.69
2020-05-06,116.47,117.87,116.0,117.56,117.56,62356000,117.45,117.08,4.18,5.0,-0.82,52.27,126.83,104.83,115.83,1219852000.0,29.72,29.96,20.95
2020-05-07,118.74,118.8,117.16,118.38,118.38,67928000,116.39,117.51,4.02,4.8,-0.79,55.65,125.71,107.57,116.64,1287780000.0,29.05,30.74,20.33
2020-05-08,118.61,119.36,117.85,118.98,118.98,64132000,117.32,118.0,3.89,4.62,-0.73,58.36,123.69,111.28,117.48,1351912000.0,28.54,30.92,19.76
2020-05-11,118.74,120.98,118.61,120.45,120.45,65184000,118.25,118.82,3.86,4.47,-0.61,64.92,122.83,113.34,118.08,1417096000.0,28.42,32.63,18.85
2020-05-12,120.59,120.95,117.75,117.85,117.85,61498000,118.64,118.49,3.59,4.29,-0.7,48.13,122.66,113.87,118.27,1355598000.0,27.99,30.6,19.34
2020-05-13,118.34,120.39,116.89,118.4,118.4,95658000,118.81,118.46,3.38,4.11,-0.73,51.44,122.61,114.23,118.42,1451256000.0,27.3,28.51,19.7
2020-05-14,118.05,119.57,117.66,119.44,119.44,72962000,119.02,118.79,3.26,3.94,-0.68,57.85,122.49,114.25,118.37,1524218000.0,26.65,27.41,18.94
2020-05-15,118.43,120.55,117.82,120.49,120.49,84700000,119.32,119.36,3.21,3.8,-0.58,63.82,122.67,114.24,118.46,1608918000.0,26.31,27.89,17.88
2020-05-18,120.22,121.65,119.2,121.31,121.31,87144000,119.5,120.01,3.2,3.68,-0.47,68.25,122.91,114.17,118.54,1696062000.0,26.27,28.76,16.96
2020-05-19,121.49,124.25,121.45,122.47,122.47,86410000,120.42,120.83,3.25,3.59,-0.34,73.85,123.41,114.27,118.84,1782472000.0,26.84,32.48,15.9
2020-05-20,123.89,125.0,123.36,124.9,124.9,79962000,121.72,122.18,3.45,3.56,-0.11,82.14,124.44,113.91,119.18,1862434000.0,27.54,32.33,15.04
2020-05-21,125.0,126.27,122.13,122.34,122.34,102288000,122.3,122.23,3.36,3.52,-0.16,57.95,124.73,113.86,119.3,1760146000.0,28.45,32.18,13.71
2020-05-22,122.75,123.49,121.51,121.84,121.84,57342000,122.57,122.1,3.21,3.46,-0.25,54.11,124.88,113.84,119.36,1702804000.0,28.99,30.79,14.47
2020-05-26,122.9,123.1,120.7,121.09,121.09,71364000,122.53,121.77,3.0,3.37,-0.37,48.05,125.04,113.91,119.48,1631440000.0,29.1,29.14,15.49
2020-05-27,120.25,120.68,116.5,120.52,120.52,101138000,122.14,121.35,2.75,3.24,-0.49,43.41,125.02,114.41,119.72,1530302000.0,27.49,26.25,23.03
2020-05-28,119.22,121.85,118.91,120.06,120.06,63804000,121.17,120.92,2.49,3.09,-0.6,39.54,125.07,114.51,119.79,1466498000.0,26.34,27.12,21.56
2020-05-29,120.8,122.12,119.91,122.12,122.12,70198000,121.13,121.32,2.42,2.96,-0.54,59.55,124.8,114.62,119.71,1536696000.0,25.35,26.39,20.5
2020-06-01,122.4,123.85,122.21,123.55,123.55,58578000,121.47,122.06,2.45,2.86,-0.4,68.58,124.88,115.47,120.17,1595274000.0,24.95,29.32,19.68
2020-06-02,123.35,123.68,122.27,123.62,123.62,50598000,121.97,122.58,2.46,2.78,-0.32,68.99,125.04,116.08,120.56,1645872000.0,24.57,28.33,19.01
2020-06-03,123.4,124.4,123.06,123.92,123.92,53420000,122.65,123.03,2.45,2.71,-0.26,71.07,125.13,116.8,120.96,1699292000.0,24.44,29.18,18.38
2020-06-04,123.87,125.38,122.5,123.03,123.03,58974000,123.25,123.03,2.35,2.64,-0.29,56.89,125.18,117.29,121.24,1640318000.0,24.6,29.53,17.06
2020-06-05,122.23,124.43,121.86,124.15,124.15,66128000,123.65,123.4,2.34,2.58,-0.24,67.19,125.44,117.61,121.53,1706446000.0,24.43,27.62,17.57
2020-06-08,125.01,126.5,124.37,126.2,126.2,79414000,124.18,124.34,2.46,2.56,-0.09,78.79,126.11,117.66,121.89,1785860000.0,24.89,31.23,16.52
2020-06-09,126.47,131.32,126.25,130.04,130.04,103520000,125.47,126.24,2.84,2.61,0.23,88.39,127.83,116.91,122.37,1889380000.0,26.38,38.97,14.49
2020-06-10,132.25,136.12,131.31,132.37,132.37,98920000,127.16,128.28,3.29,2.75,0.54,91.36,129.7,116.49,123.09,1988300000.0,28.5,44.4,12.52
2020-06-11,130.18,133.57,126.81,127.9,127.9,116002000,128.13,128.15,3.24,2.85,0.4,56.62,130.12,117.01,123.57,1872298000.0,28.68,38.19,20.09
2020-06-12,130.06,131.07,125.17,127.25,127.25,108722000,128.75,127.85,3.12,2.9,0.22,52.98,130.41,117.5,123.96,1763576000.0,28.3,33.74,20.99
2020-06-15,126.33,129.2,125.4,128.63,128.63,77302000,129.24,128.11,3.1,2.94,0.16,59.87,130.92,117.81,124.37,1840878000.0,27.94,31.22,19.43
2020-06-16,131.0,131.0,128.8,130.76,130.76,71712000,129.38,129.0,3.22,3.0,0.22,68.71,131.79,117.88,124.84,1912590000.0,27.99,33.36,18.5
2020-06-17,132.38,132.75,131.59,132.05,132.05,59186000,129.32,130.01,3.38,3.07,0.3,73.16,132.85,117.78,125.32,1971776000.0,28.39,35.62,17.74
2020-06-18,132.35,132.98,131.81,132.7,132.7,49756000,130.28,130.91,3.51,3.16,0.35,75.38,133.89,117.52,125.71,2021532000.0,28.8,35.21,17.28
2020-06-19,133.9,134.87,132.95,133.75,133.75,115540000,131.58,131.86,3.66,3.26,0.4,78.9,135.02,117.54,126.28,2137072000.0,29.55,37.73,16.44
2020-06-22,134.23,135.75,133.45,135.69,135.69,64176000,132.99,133.13,3.9,3.39,0.51,84.14,136.36,117.58,126.97,2201248000.0,30.41,37.75,15.58
2020-06-23,136.3,139.16,135.9,138.22,138.22,84634000,134.48,134.83,4.24,3.56,0.68,88.71,138.01,117.64,127.83,2285882000.0,31.77,42.5,14.36
2020-06-24,139.0,139.8,136.05,136.72,136.72,90532000,135.42,135.46,4.33,3.71,0.62,73.1,138.94,118.33,128.64,2195350000.0,33.14,40.38,13.15
2020-06-25,136.98,137.81,135.61,137.73,137.73,59374000,136.42,136.22,4.44,3.86,0.58,76.56,139.76,119.28,129.52,2254724000.0,34.19,38.35,13.5
2020-06-26,138.75,139.13,134.4,134.64,134.64,130016000,136.6,135.69,4.23,3.93,0.3,51.3,140.03,120.27,130.15,2124708000.0,35.39,37.25,12.1
2020-06-29,134.5,134.84,131.5,134.02,134.02,84468000,136.27,135.13,3.96,3.94,0.02,47.35,140.2,121.14,130.67,2040240000.0,35.19,34.52,17.58
2020-06-30,134.25,138.48,133.75,137.94,137.94,75394000,136.21,136.07,4.02,3.96,0.07,67.19,140.84,121.93,131.39,2115634000.0,35.68,38.8,15.81
2020-07-01,137.9,144.75,137.7,143.93,143.93,127268000,137.65,138.69,4.5,4.07,0.44,80.93,142.67,122.1,132.39,2242902000.0,37.0,45.78,13.61
2020-07-02,145.6,147.78,143.55,144.51,144.51,131868000,139.01,140.63,4.87,4.23,0.65,81.84,144.09,122.83,133.46,2374770000.0,38.55,47.91,12.49
2020-07-06,146.75,152.99,146.5,152.85,152.85,137612000,142.65,144.71,5.77,4.54,1.24,90.27,147.65,122.14,134.9,2512382000.0,40.44,49.97,10.6
2020-07-07,152.93,153.48,149.5,150.01,150.01,105150000,145.85,146.47,6.19,4.87,1.32,75.35,149.78,122.39,136.09,2407232000.0,42.23,47.29,9.85
2020-07-08,151.13,154.2,150.62,154.06,154.06,100752000,149.07,149.0,6.76,5.25,1.52,80.95,152.75,121.83,137.29,2507984000.0,43.95,45.04,9.11
2020-07-09,155.8,159.69,153.7,159.13,159.13,127774000,152.11,152.38,7.54,5.7,1.84,85.95,156.58,120.67,138.63,2635758000.0,45.95,49.85,8.17
2020-07-10,159.59,160.75,156.79,160.0,160.0,109720000,155.21,154.92,8.13,6.19,1.94,86.7,159.74,120.72,140.23,2745478000.0,47.86,48.26,7.61
2020-07-13,162.55,167.21,153.42,155.2,155.2,154408000,155.68,155.01,8.12,6.58,1.55,63.41,161.22,122.04,141.63,2591070000.0,49.98,47.97,6.06
2020-07-14,154.45,156.37,147.5,154.2,154.2,144638000,156.52,154.74,7.94,6.85,1.09,59.26,162.27,123.54,142.91,2446432000.0,50.07,42.04,13.57
2020-07-15,154.01,154.92,148.66,150.44,150.44,115778000,155.79,153.31,7.41,6.96,0.45,45.34,162.68,125.1,143.89,2330654000.0,50.15,38.43,12.4
2020-07-16,148.55,151.6,145.91,149.99,149.99,127884000,153.97,152.2,6.87,6.95,-0.07,43.81,162.94,126.64,144.79,2202770000.0,49.43,35.45,15.19
2020-07-17,150.45,151.2,147.42,148.1,148.1,95226000,151.59,150.84,6.22,6.8,-0.58,37.16,162.88,128.24,145.56,2107544000.0,48.75,33.58,14.39
2020-07-20,150.01,160.07,149.7,159.84,159.84,151964000,152.52,153.84,6.58,6.76,-0.18,71.11,164.36,129.37,146.86,2259508000.0,49.06,39.74,12.2
2020-07-21,161.62,162.03,155.29,156.91,156.91,122426000,153.06,154.86,6.55,6.72,-0.16,60.86,165.15,130.69,147.92,2137082000.0,49.51,38.84,11.17
2020-07-22,156.25,157.5,153.26,155.0,155.0,82084000,153.97,154.91,6.3,6.63,-0.33,54.44,165.65,131.87,148.76,2054998000.0,49.35,36.74,13.15
2020-07-23,154.91,154.91,148.5,149.33,149.33,113138000,153.84,153.05,5.58,6.42,-0.84,39.17,165.35,133.43,149.39,1941860000.0,47.98,33.73,18.08
2020-07-24,146.5,151.58,144.4,150.45,150.45,112648000,154.3,152.18,5.04,6.15,-1.1,43.1,165.06,134.99,150.03,2054508000.0,45.81,30.73,21.55
2020-07-27,153.1,154.9,150.79,152.76,152.76,83410000,152.89,152.37,4.75,5.87,-1.12,51.26,164.23,137.63,150.93,2137918000.0,44.25,33.19,20.34
2020-07-28,152.71,153.85,149.79,150.02,150.02,62534000,151.51,151.59,4.24,5.54,-1.3,42.28,162.56,140.9,151.73,2075384000.0,42.59,31.46,20.56
2020-07-29,151.55,151.96,149.84,151.68,151.68,59482000,150.85,151.62,3.93,5.22,-1.29,49.03,161.22,143.62,152.42,2134866000.0,41.04,30.56,19.98
2020-07-30,150.7,154.6,150.25,152.59,152.59,122566000,151.5,151.94,3.72,4.92,-1.2,52.84,160.74,144.97,152.85,2257432000.0,40.0,32.35,18.79
2020-07-31,162.2,162.34,157.55,158.23,158.23,161710000,153.06,154.04,3.96,4.73,-0.77,70.06,160.77,146.31,153.54,2419142000.0,39.99,38.23,16.44
2020-08-03,159.03,159.2,155.2,155.59,155.59,101494000,153.62,154.56,3.89,4.56,-0.67,57.73,160.95,146.4,153.68,2317648000.0,39.42,36.23,18.66
2020-08-04,155.06,158.36,155.06,156.94,156.94,93886000,155.01,155.35,3.9,4.43,-0.53,62.0,161.22,146.82,154.02,2411534000.0,38.86,34.62,18.02
2020-08-05,157.19,160.68,156.37,160.25,160.25,78330000,156.72,156.99,4.12,4.37,-0.24,70.99,162.03,146.64,154.33,2489864000.0,38.63,35.74,16.96
2020-08-06,159.72,162.37,158.27,161.25,161.25,78812000,158.45,158.41,4.33,4.36,-0.02,73.36,162.45,146.43,154.44,2568676000.0,38.62,36.06,15.99
2020-08-07,161.2,162.04,157.03,158.37,158.37,78722000,158.48,158.4,4.22,4.33,-0.11,56.65,162.17,146.55,154.36,2489954000.0,38.28,33.55,16.6
2020-08-10,158.52,158.63,155.08,157.41,157.41,63346000,158.84,158.07,4.01,4.27,-0.26,51.71,162.39,146.55,154.47,2426608000.0,37.43,31.86,18.54
2020-08-11,155.66,157.96,153.65,154.03,154.03,74362000,158.26,156.72,3.52,4.12,-0.59,37.44,162.38,146.54,154.46,2352246000.0,36.27,29.89,19.44
2020-08-12,155.4,158.72,155.07,158.11,158.11,70442000,157.84,157.19,3.43,3.98,-0.55,55.85,162.69,147.0,154.84,2422688000.0,35.32,28.96,18.13
2020-08-13,159.15,160.88,157.75,158.05,158.05,62980000,157.2,157.47,3.31,3.85,-0.53,55.54,162.88,147.61,155.25,2359708000.0,34.81,30.81,17.29
2020-08-14,158.91,158.91,156.0,157.4,157.4,55034000,157.0,157.45,3.13,3.7,-0.57,51.77,162.65,148.77,155.71,2304674000.0,33.83,29.45,19.19
2020-08-17,158.66,159.75,157.71,159.12,159.12,53824000,157.34,158.01,3.09,3.58,-0.49,60.62,162.53,148.82,155.68,2358498000.0,33.07,29.68,18.48
2020-08-18,160.6,166.0,160.29,165.62,165.62,106920000,159.66,160.55,3.54,3.57,-0.03,78.91,164.22,148.0,156.11,2465418000.0,33.36,36.09,16.54
2020-08-19,165.15,165.79,162.8,163.02,163.02,83702000,160.64,161.37,3.65,3.59,0.06,64.04,165.14,147.88,156.51,2381716000.0,33.63,34.4,15.77
2020-08-20,162.6,165.63,161.9,164.87,164.87,66650000,162.01,162.54,3.84,3.64,0.2,69.19,165.99,148.59,157.29,2448366000.0,33.6,32.37,16.26
2020-08-21,164.75,165.72,163.77,164.24,164.24,71518000,163.37,163.1,3.89,3.69,0.2,65.19,166.58,149.37,157.98,2376848000.0,33.58,31.47,15.74
2020-08-24,165.51,169.02,162.88,165.37,165.37,93326000,164.63,163.86,3.98,3.75,0.23,69.19,167.44,149.78,158.61,2470174000.0,34.09,33.66,14.19
2020-08-25,164.75,167.87,163.35,167.32,167.32,79856000,164.97,165.01,4.16,3.83,0.33,75.29,168.16,150.79,159.47,2550030000.0,34.56,31.22,13.16
2020-08-26,167.56,172.59,167.23,172.09,172.09,130174000,166.78,167.37,4.63,3.99,0.64,84.59,170.03,150.96,160.5,2680204000.0,35.65,36.03,12.05
2020-08-27,172.5,172.65,168.9,170.0,170.0,85296000,167.81,168.25,4.79,4.15,0.64,70.11,171.03,151.7,161.37,2594908000.0,36.68,33.97,11.33
